event_id,mag,depth_km,sig,felt,cdi,gap,dmin,nst,tsunami,type,distance_direction,region,depth_category,pct_of_great_threshold,significant,sensor_status,battery_pct,last_ping_offset_sec,mag_scaled
ci41538696,0.24,7.67,2,0,0,43,0.03358,25,0,earthquake,12 km WNW,"Anza, CA",shallow,3.0,0,nominal,22.3,1991,0.0
ak2026rcboct,1.5,143.7,32,0,0,123,0.1,15,0,earthquake,52 km WNW,"Cantwell, Alaska",intermediate,18.75,0,offline,80.3,1394,0.2647058823529412
nc75426767,1.74,5.07,41,0,0,43,0.06717,14,0,earthquake,3 km S,"Redwood Valley, CA",shallow,21.75,0,maintenance,45.8,567,0.31512605042016806
ci41538688,0.84,7.89,12,0,0,57,0.07476,23,0,earthquake,19 km ESE,"Little Lake, CA",shallow,10.5,0,,,,0.12605042016806722
tx2026qzhxnm,1.6,4.8244,37,0,0,93,0.1,31,0,earthquake,17 km WNW,"Mentone, Texas",shallow,20.0,0,nominal,28.0,656,0.28571428571428575
nc75426762,0.69,2.44,8,0,0,84,0.007631,10,0,earthquake,8 km NW,"The Geysers, CA",shallow,8.625,0,maintenance,90.2,2634,0.09453781512605042
ak2026rcailk,1.4,18.3,28,0,0,234,0.3,6,0,earthquake,98 km ESE,"McCarthy, Alaska",shallow,17.5,0,offline,78.5,1755,0.24369747899159663
tx2026qzhblg,1.7,4.8268,41,0,0,91,0.1,34,0,earthquake,17 km WNW,"Mentone, Texas",shallow,21.25,0,degraded,76.5,2339,0.3067226890756303
hv75026267,2.06,32.33,60,0,0,96,0.006357,39,0,earthquake,5 km NNW,"Pāhala, Hawaii",shallow,25.75,0,offline,33.1,2045,0.3823529411764706
us7000tct5,2.6,10.0,101,0,0,281,2.563,20,0,earthquake,264 km W,"Ferndale, California",shallow,32.5,0,,,,0.49579831932773116
tx2026qzgsev,1.5,9.8574,32,0,0,127,0.1,6,0,earthquake,34 km NNW,"Mentone, Texas",shallow,18.75,0,,,,0.2647058823529412
