event_id,sensor_status,battery_pct,last_ping_offset_sec
us7000tcsu,offline,86.6,3179
ci41538592,nominal,34.5,132
nc75426752,offline,49.1,272
nc75426712,degraded,92.6,2324
hv75026267,offline,33.1,2045
nc75426762,maintenance,90.2,2634
us7000tcsc,maintenance,27.1,572
ak2026rbtuxk,degraded,78.3,2208
ak2026rcailk,offline,78.5,1755
nc75426767,maintenance,45.8,567
nv1_explosion_test,maintenance,22.7,193
tx2026qzhxnm,nominal,28.0,656
ak2026rbzqxb,maintenance,65.7,1577
us7000tcs8,maintenance,65.7,1918
ghost0000,offline,97.5,3526
ci41538672,nominal,72.8,470
ak2026rcboct,offline,80.3,1394
us7000tcss,nominal,39.9,648
tx2026qzdgja,maintenance,15.3,2958
us7000tcsm,offline,97.6,3121
tx2026qzbnxm,degraded,58.2,436
us7000tcsr,offline,86.5,2080
tx2026qzbwlz,degraded,28.0,3124
ghost0001,degraded,60.8,3190
us7000tcsv,nominal,65.9,2002
ak2026rbzdpd,nominal,24.5,1487
hv75026247,offline,35.4,987
ci41538696,nominal,22.3,1991
tx2026qzfvrd,nominal,98.1,2182
hv75026147,degraded,25.9,1947
ghost0002,degraded,37.5,3574
nc75426692,maintenance,97.0,2209
ci41538680,degraded,75.6,1635
ci41538656,offline,52.2,2120
ci41538600,maintenance,25.3,921
nz1_quarry_test,nominal,43.7,2410
us7000tct6,degraded,65.0,30
ak2026rbziag,nominal,75.2,242
ci41538632,degraded,20.7,129
ci41538624,offline,21.0,975
ci41538640,offline,71.9,878
tx2026qzhblg,degraded,76.5,2339
ghost0003,maintenance,35.7,1938
ak2026rbyktl,maintenance,31.2,398
